id,china,uk,usa
202001,1,1,1
202002,1,1,1
202003,1,1,1
202004,1,1,1
202005,1,1,1
202006,1,1,1
202007,1,1,1
202008,1,1,1
202009,1,1,1
202010,1,1,1
202011,1,1,1
202012,1,1,1
202013,1,1,1
202014,1,1,1
202015,1,1,1
202016,1,1,1
202017,1,1,1
202018,1,1,1
202019,1,1,1
202020,1,1,1
202021,1,1,1
202022,1,1,1
202023,1,1,1
202024,1,1,1
202025,1,1,1
202026,1,1,1
202027,1,1,1
202028,1,1,1
202029,1,1,1
202030,1,1,1
202031,1,1,1
202032,1,1,1
202033,1,1,1
202034,1,1,1
202035,1,1,1
202036,1,1,1
202037,1,1,1
202038,1,1,1
202039,1,1,1
202040,1,1,1
202041,1,1,1
202042,1,1,1
202043,1,1,1
202044,1,1,1
202045,1,1,1
202046,1,1,1
202047,1,1,1
202048,1,1,1
202049,1,1,1
202050,1,0.0949,1
202051,0.065,0.6032,1
202052,0.156,1.4284,0.2895
202053,0.2656,1.8737,0.8323
202101,0.4867,2.9467,1.6181
202102,0.6909,5.7281,3.0713
202103,1.0626,9.1525,4.978
202104,1.5093,13.1198,7.4486
202105,2.1781,17.5825,10.1939
202106,2.8193,21.836,13.4214
202107,3.1343,25.9095,16.8196
202108,3.4402,29.7024,19.9309
202109,3.8179,33.4488,24.03
202110,4.2491,37.0296,28.7061
202111,4.9053,42.2302,33.74
202112,6.3346,48.2293,39.0261
202113,8.6644,53.5686,44.9823
202114,10.6757,57.1547,51.3289
202115,12.5919,61.6819,58.1586
202116,14.4819,66.8003,64.4006
202117,17.4785,72.1041,69.932
202118,20.7263,76.7926,74.4492
202119,25.4289,82.1597,78.7474
202120,32.234,87.9203,82.5743
202121,40.373,94.1735,86.0168
202122,49.9573,99.3832,88.3479
202123,58.3746,104.4713,90.576
202124,66.8988,108.9856,93.1004
202125,77.4143,112.8363,95.086
202126,87.2376,116.1617,97.0695
202127,93.5962,118.7888,98.6373
202128,98.6134,121.1461,99.7342
202129,104.379,123.4125,100.8245
202130,112.0012,125.4686,102.0941
202131,120.3719,127.3926,103.5214
202132,126.7154,129.4201,105.0191
202133,132.3083,131.5752,106.6615
202134,1,1,108.4896
202135,1,1,1
202136,1,1,1
202137,1,1,1
202138,1,1,1
202139,1,1,1
202140,1,1,1
202141,1,1,1
202142,1,1,1
202143,1,1,1
202144,1,1,1
202145,1,1,1
202146,1,1,1
202147,1,1,1
202148,1,1,1
202149,1,1,1
202150,1,1,1
202151,1,1,1
202152,1,1,1
202201,1,1,1
202202,1,1,1
202203,1,1,1
202204,1,1,1
202205,1,1,1
202206,1,1,1
202207,1,1,1
202208,1,1,1
202209,1,1,1
202210,1,1,1
202211,1,1,1
202212,1,1,1
202213,1,1,1
202214,1,1,1
202215,1,1,1
202216,1,1,1
202217,1,1,1
202218,1,1,1
202219,1,1,1
202220,1,1,1
202221,1,1,1
202222,1,1,1
202223,1,1,1
202224,1,1,1
202225,1,1,1
202226,1,1,1
202227,1,1,1
202228,1,1,1
202229,1,1,1
202230,1,1,1
202231,1,1,1
202232,1,1,1
202233,1,1,1
202234,1,1,1
202235,1,1,1
202236,1,1,1
202237,1,1,1
202238,1,1,1
202239,1,1,1
202240,1,1,1
202241,1,1,1
202242,1,1,1
202243,1,1,1
202244,1,1,1
202245,1,1,1
202246,1,1,1
202247,1,1,1
202248,1,1,1
202249,1,1,1
202250,1,1,1
202251,1,1,1
202252,1,1,1
